Fiil, İş, Oluş, Hareket, Eylem, Sözcük
Uyak, Şiir, Dize, Benzerlik, Kafiye, Ses
Sözlük, Anlam, Kelime, Sözcük, Açıklama, Lügat
Kuş Bakışı, Harita, Tepe, Yukarı, Görmek, Kroki
Okka, Ağırlık, Ölçü, Birim, Kilo, Tartı
Kök, Sözcük, Ek, Yapım, Çekim, Kelime
Şiir, Şair, Mısra, Dize, Kıta, Dörtlük
Fabl, Hayvan, La Fontaine, Masal, İnsan, Hikaye
Öykü, Hikaye, Kahraman, Yazar, Yer, Kitap
Yapım Eki, Ek, Kelime, Kök, Türemiş, Yapım
Fiilimsi, Sıfat Fiil, İsim Fiil, Zarf Fiil, Fiil, Ek
Eş Sesli, Yazılış, Okunuş, Aynı, Sözcük, Sesteş
Zıt Anlam, Karşıt, Sözcük, Örnek, Birbirine, Mana
Mecaz, Kelime, Sözcük, Gerçek Anlam, Yan Anlam, Terim Anlam
Özne, Cümle, İş, Kişi, Varlık, Öge
Benzeşme, Sert, Ünsüz, Fıstıkçı Şahap, BGCD, Kural
Masal, Olağanüstü, Kahraman, Yazar, Keloğlan, Kitap
Hal Eki, Çekim Eki, -i hali, -de hali, -den hali, -e hali
Türemiş, Sözcük, Kelime, Yapım Eki, Çekim Eki, Yapı
Ünsüz Yumuşaması, Ketçap, Harf, Ses, Ünlü, Sertleşme
Fay, Hat, Deprem, Kırılmak, Sarsılmak, İstanbul
Konuşturma, İntak, Hayvan, Cansız, Varlık, Sanat
Öneri, Teklif, Çözüm, Yol, Cümle, İyi Olur
Küçümseme, Nitelik, Değersiz, Yargı, Cümle, Azımsama
İkilem, Kararsız, Cümle, Durum, Acaba, Tercih
Varsayım, Olmamış, Tut ki, Farz et, Diyelim, Cümle
PARAGRAF, Sınav, Soru, Ana düşünce, Yardımcı düşünce, Metin
ANLATIM BİÇİMİ, Betimleme, Öyküleme, Tartışmacı, Açıklayıcı, Paragraf 
ANLAM KAYMASI, Fiil, Kip,  Zaman, Anlam, Eylem 
KOŞUL, Şart, Neden, Cümle, Eğer, Sonuç 
BENZETME, Benzeyen, Benzetilen, Gibi, Güçlü, Güçsüz 
ABARTMA, Mübalağa,  Aşırı, Farklı, Göstermek, Olduğundan 
ÖDEV, Ders, Çalışmak, Okul, Öğretmen, Ev 
ÜÇ NOKTA, Noktalama, Son, Tamamlanmamış, İstenmeyen, Cümle 
HAYIFLANMA, Pişmanlık, Üzüntü, Geçmiş, Cümle, Anlam
OLASILIK, Cümle, Anlam, İhtimal, Belki, Olabilir
SIFAT, Ön ad, Niteleme, İsim, Zamir, İşaret
ZAMİR, İsim, İşaret, Kişi, Adıl, Kelime 
SOYUT, Duyu, Algılamak, Görülmeyen, İsim, Somut 
SOMUT, Duyu, Algılamak, Soyut, İsim, Görülen 
NOKTA, Cümle, Son, İşaret, Tarih, Saat 
ZARF, Belirteç, Zaman,  Yer-Yön, Durum, Zaman 
EK FİİL, Eylem,  İsim, Birleşik, Şart, Yüklem 
KİP, Dilek, Fiil, Haber, Bildirme, Yüklem
AŞAMALILIK, Giderek, Gittikçe, Kademe, Cümle, Anlam
TERİM, Kelime, Anlam, Bilim, Sanat, Kavram
KARŞILAŞTIRMA, Kıyaslama, Mukayese, Benzerlik, Farklılık, İki 
AHESTE, Yavaş,  Ağır, Hızlı, Durgun, Tembel 
HECE, Kelime, Harf, Ses, Okumak, Yazı
KÜSMEK, Darılmak,  Kızmak, Konuşmak, Tartışmak, Kavga
KURNA, Hamam,  Yıkanmak,  Su, Tellak, Göbek Taşı 
AVİZE, Lamba,  Kristal, Tavan,  Işık, Aydınlık 
KOORDİNAT, Yer,  Enlem, Boylam,  Belirtmek, Vermek 
BASKÜL, Tartı, Kilo, Ağır, Ölçü, Hafif 
HARABE, Yıkık, Eski, Tarihi, Efes, Gezmek 
ÇAYLAK, Acemi, Deneyim, Tecrübe, Usta, Yeni 
CEMRE, Düşmek,   Hava, Toprak, Su, Bahar 
HALÜSİNASYON, Hayal, Gerçek, Görmek, İllüzyon, Serap 
ŞAMDAN, Mum,  Işık, Aydınlık, Yakmak, Süs 
TIRABZAN, Merdiven,  Korkuluk,  İnmek, Çıkmak, Bina
KORNİŞ, Tavan,   Perde, Asmak, Pencere, Cam 
NİHALE, Altlık, Tencere, Çaydanlık, Sıcak, Tezgâh
DUY, Tavan, Lamba, Işık, İşitmek, Anahtar 
ARMAĞAN, Hediye,  Vermek, Almak, Doğum günü, Sevindirmek 
KABZIMAL, Meyve,  Sebze, Hal, Satmak, Aracı
PİŞMANLIK, Hata,  Üzülmek, Yanlış, Keşke, Son
KUMBARA, Para, Biriktirmek, Yatırım, Banka, Saklamak 
ANTİKA, Müzayede, Zengin, Eski, Tablo, Tarihi 
SAĞDIÇ, Damat,  Düğün, Gelin, Güvey, Sırtına vurmak 
ADEM ELMASI, Erkek,  Gırtlak, Çıkıntı, Boğaz, Havva 
SATRANÇ, Şah-Mat, Kale, Vezir, Piyon, Fil
MANGALA, Oyun, Osmanlı, Kuyu, Taş, Hazine 
PARAŞÜT, Uçak, Atlamak, Uçmak, Balon, Hava
BALMUMU, Mum, Erimek, Heykel, Müze, Bal 
FERMUAR, Pantolon, Mont, Giysi, Kıyafet, Kot
KELEBEK, Renkli, Uçmak, Tırtıl, Koza, Hayvan 
GÖKKUŞAĞI, Renkli, Hava, Güneş, Yağmur, Ebem
